Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-64,"Cloud Function: fn_qry_stagging_google_ads_performance_paid_search (Template: fn-qry-bgq)   |   HTTP Operator, executa query SQL para Google Ads (Supermetrics → Mart)",2026-02-24T12:53:22.798-0300,2026-03-26T15:10:14.215-0300,In progress,Waiting Test,maite.willig
BF3E4-64,"Cloud Function: fn_qry_stagging_google_ads_performance_paid_search (Template: fn-qry-bgq)   |   HTTP Operator, executa query SQL para Google Ads (Supermetrics → Mart)",2026-02-24T12:53:22.798-0300,2026-03-17T10:49:23.613-0300,Open,In progress,artur.mariano
BF3E4-63,"Cloud Function: fn_qry_stagging_facebook_ads_performance_social (Template: fn-qry-bgq)   |   HTTP Operator, executa query SQL para Facebook Ads (Supermetrics → Mart). Esta Cloud Function é do tipo HTTP Trigger e executa queries SQL no BigQuery com base no",2026-02-24T12:53:20.813-0300,2026-03-26T15:10:16.078-0300,In progress,Waiting Test,maite.willig
BF3E4-63,"Cloud Function: fn_qry_stagging_facebook_ads_performance_social (Template: fn-qry-bgq)   |   HTTP Operator, executa query SQL para Facebook Ads (Supermetrics → Mart). Esta Cloud Function é do tipo HTTP Trigger e executa queries SQL no BigQuery com base no",2026-02-24T12:53:20.813-0300,2026-03-17T10:49:21.017-0300,Open,In progress,artur.mariano
BF3E4-63,"Cloud Function: fn_qry_stagging_facebook_ads_performance_social (Template: fn-qry-bgq)   |   HTTP Operator, executa query SQL para Facebook Ads (Supermetrics → Mart). Esta Cloud Function é do tipo HTTP Trigger e executa queries SQL no BigQuery com base no",2026-02-24T12:53:20.813-0300,2026-03-09T10:57:13.671-0300,In progress,Open,marina.bueno
BF3E4-63,"Cloud Function: fn_qry_stagging_facebook_ads_performance_social (Template: fn-qry-bgq)   |   HTTP Operator, executa query SQL para Facebook Ads (Supermetrics → Mart). Esta Cloud Function é do tipo HTTP Trigger e executa queries SQL no BigQuery com base no",2026-02-24T12:53:20.813-0300,2026-03-09T10:26:49.021-0300,Open,In progress,artur.mariano
BF3E4-62,DAG - data-lake-bmc-carga-supermetrics,2026-02-24T12:53:18.976-0300,2026-03-27T09:10:31.390-0300,Waiting Test,In progress,artur.mariano
BF3E4-62,DAG - data-lake-bmc-carga-supermetrics,2026-02-24T12:53:18.976-0300,2026-03-26T15:10:09.952-0300,In progress,Waiting Test,maite.willig
BF3E4-62,DAG - data-lake-bmc-carga-supermetrics,2026-02-24T12:53:18.976-0300,2026-03-17T10:49:17.199-0300,Open,In progress,artur.mariano
BF3E4-62,DAG - data-lake-bmc-carga-supermetrics,2026-02-24T12:53:18.976-0300,2026-03-09T10:57:10.508-0300,In progress,Open,marina.bueno
BF3E4-62,DAG - data-lake-bmc-carga-supermetrics,2026-02-24T12:53:18.976-0300,2026-03-09T10:27:06.843-0300,Open,In progress,artur.mariano
