Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-160,vw_fornecedor_mestre,2026-02-25T11:58:45.029-0300,2026-03-24T09:24:20.931-0300,In progress,Waiting Test,artur.mariano
BF3E4-160,vw_fornecedor_mestre,2026-02-25T11:58:45.029-0300,2026-03-19T10:22:29.334-0300,Waiting Test,In progress,artur.mariano
BF3E4-160,vw_fornecedor_mestre,2026-02-25T11:58:45.029-0300,2026-03-19T10:16:42.833-0300,Open,Waiting Test,alan.correa
BF3E4-158,vw_programacao_material,2026-02-25T11:58:41.673-0300,2026-03-27T08:49:52.340-0300,Open,In progress,alan.correa
BF3E4-157,vw_fornecedor_desenho,2026-02-25T11:58:39.679-0300,2026-03-27T08:49:53.732-0300,Open,In progress,alan.correa
BF3E4-156,vw_fornecedor,2026-02-25T11:58:37.290-0300,2026-03-27T08:49:56.734-0300,Open,In progress,alan.correa
BF3E4-156,vw_fornecedor,2026-02-25T11:58:37.290-0300,2026-03-23T09:23:29.160-0300,In progress,Open,artur.mariano
BF3E4-156,vw_fornecedor,2026-02-25T11:58:37.290-0300,2026-03-23T09:23:17.059-0300,Open,In progress,artur.mariano
BF3E4-153,Tratativa.tb_fornecedor_desenho | Carga via Cloud Function - Tabela Fornecedor Desenho - Carga: DELETE/INSERT,2026-02-25T11:58:30.696-0300,2026-03-23T09:23:24.128-0300,Open,In progress,artur.mariano
BF3E4-152,Tratativa.tb_fornecedor | Carga via Cloud Function - Tabela Fornecedor - Carga: DELETE/INSERT,2026-02-25T11:58:28.668-0300,2026-03-26T13:20:31.112-0300,Waiting Test,In progress,alan.correa
BF3E4-152,Tratativa.tb_fornecedor | Carga via Cloud Function - Tabela Fornecedor - Carga: DELETE/INSERT,2026-02-25T11:58:28.668-0300,2026-03-25T13:22:59.364-0300,In progress,Waiting Test,alan.correa
BF3E4-152,Tratativa.tb_fornecedor | Carga via Cloud Function - Tabela Fornecedor - Carga: DELETE/INSERT,2026-02-25T11:58:28.668-0300,2026-03-19T10:16:22.331-0300,Open,In progress,alan.correa
