Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-1731,[CLIENTE - 16] Assunto: Golden Cliente (Parte 1) - TAMANHO: G,2026-03-09T11:58:30.167-0300,2026-03-17T18:27:15.865-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1731,[CLIENTE - 16] Assunto: Golden Cliente (Parte 1) - TAMANHO: G,2026-03-09T11:58:30.167-0300,2026-03-17T18:27:12.479-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1719,[CLIENTE - 15] Assunto: Serviços Financeiros (Parte 1) - TAMANHO: M,2026-03-09T11:58:06.999-0300,2026-03-17T18:26:26.216-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1719,[CLIENTE - 15] Assunto: Serviços Financeiros (Parte 1) - TAMANHO: M,2026-03-09T11:58:06.999-0300,2026-03-17T18:26:24.080-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1719,[CLIENTE - 15] Assunto: Serviços Financeiros (Parte 1) - TAMANHO: M,2026-03-09T11:58:06.999-0300,2026-03-17T18:26:21.578-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1715,[CLIENTE - 14] Assunto: Relacionamento Cliente (Parte 3) - TAMANHO: M,2026-03-09T11:57:43.896-0300,2026-03-17T18:24:58.003-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1715,[CLIENTE - 14] Assunto: Relacionamento Cliente (Parte 3) - TAMANHO: M,2026-03-09T11:57:43.896-0300,2026-03-17T18:24:55.551-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-1715,[CLIENTE - 14] Assunto: Relacionamento Cliente (Parte 3) - TAMANHO: M,2026-03-09T11:57:43.896-0300,2026-03-17T18:24:53.221-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1715,[CLIENTE - 14] Assunto: Relacionamento Cliente (Parte 3) - TAMANHO: M,2026-03-09T11:57:43.896-0300,2026-03-17T18:24:51.262-0300,WAITING REFINEMENT,Open,willian.santos
BF3E4-1715,[CLIENTE - 14] Assunto: Relacionamento Cliente (Parte 3) - TAMANHO: M,2026-03-09T11:57:43.896-0300,2026-03-17T18:24:48.881-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-1711,[CLIENTE - 13] Assunto: Relacionamento Cliente (Parte 2) - TAMANHO: M,2026-03-09T11:57:23.404-0300,2026-03-20T09:40:32.787-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-1711,[CLIENTE - 13] Assunto: Relacionamento Cliente (Parte 2) - TAMANHO: M,2026-03-09T11:57:23.404-0300,2026-03-20T09:40:29.685-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
