Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-5269,[SHARED SERVICES - 61] Entidade: Workday - Views Normalized - Movimentação de Pessoal Parte 2 - TAMANHO: G,2026-03-16T10:35:53.808-0300,2026-03-18T11:59:42.637-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5269,[SHARED SERVICES - 61] Entidade: Workday - Views Normalized - Movimentação de Pessoal Parte 2 - TAMANHO: G,2026-03-16T10:35:53.808-0300,2026-03-18T11:07:23.822-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5259,[SHARED SERVICES - 60] Entidade: Workday - Views Normalized - Movimentação de Pessoal Parte 1 - TAMANHO: G,2026-03-16T10:35:32.064-0300,2026-03-24T10:29:24.044-0300,Refined,To Do,fabio.bastos
BF3E4-5259,[SHARED SERVICES - 60] Entidade: Workday - Views Normalized - Movimentação de Pessoal Parte 1 - TAMANHO: G,2026-03-16T10:35:32.064-0300,2026-03-18T15:18:14.656-0300,IN REFINEMENT,Refined,fabio.bastos
BF3E4-5259,[SHARED SERVICES - 60] Entidade: Workday - Views Normalized - Movimentação de Pessoal Parte 1 - TAMANHO: G,2026-03-16T10:35:32.064-0300,2026-03-18T11:59:45.153-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5259,[SHARED SERVICES - 60] Entidade: Workday - Views Normalized - Movimentação de Pessoal Parte 1 - TAMANHO: G,2026-03-16T10:35:32.064-0300,2026-03-18T11:07:18.158-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5251,[SHARED SERVICES - 59] Entidade: Workday - Views Normalized - Estrutura Organizacional Parte 2 - TAMANHO: M,2026-03-16T10:35:13.361-0300,2026-03-24T10:29:26.079-0300,Refined,To Do,fabio.bastos
BF3E4-5251,[SHARED SERVICES - 59] Entidade: Workday - Views Normalized - Estrutura Organizacional Parte 2 - TAMANHO: M,2026-03-16T10:35:13.361-0300,2026-03-18T15:18:10.781-0300,IN REFINEMENT,Refined,fabio.bastos
BF3E4-5251,[SHARED SERVICES - 59] Entidade: Workday - Views Normalized - Estrutura Organizacional Parte 2 - TAMANHO: M,2026-03-16T10:35:13.361-0300,2026-03-18T11:59:48.090-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5251,[SHARED SERVICES - 59] Entidade: Workday - Views Normalized - Estrutura Organizacional Parte 2 - TAMANHO: M,2026-03-16T10:35:13.361-0300,2026-03-18T11:07:13.155-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5242,[SHARED SERVICES - 58] Entidade: Workday - Views Normalized - Estrutura Organizacional Parte 1 - TAMANHO: G,2026-03-16T10:34:54.094-0300,2026-03-24T10:29:28.477-0300,Refined,To Do,fabio.bastos
BF3E4-5242,[SHARED SERVICES - 58] Entidade: Workday - Views Normalized - Estrutura Organizacional Parte 1 - TAMANHO: G,2026-03-16T10:34:54.094-0300,2026-03-18T15:18:06.541-0300,IN REFINEMENT,Refined,fabio.bastos
BF3E4-5242,[SHARED SERVICES - 58] Entidade: Workday - Views Normalized - Estrutura Organizacional Parte 1 - TAMANHO: G,2026-03-16T10:34:54.094-0300,2026-03-18T11:59:50.765-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5242,[SHARED SERVICES - 58] Entidade: Workday - Views Normalized - Estrutura Organizacional Parte 1 - TAMANHO: G,2026-03-16T10:34:54.094-0300,2026-03-18T11:07:09.925-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5233,[SHARED SERVICES - 57] Entidade: Workday - Views Normalized - Contratação - TAMANHO: M,2026-03-16T10:34:35.659-0300,2026-03-24T10:29:30.883-0300,Refined,To Do,fabio.bastos
BF3E4-5233,[SHARED SERVICES - 57] Entidade: Workday - Views Normalized - Contratação - TAMANHO: M,2026-03-16T10:34:35.659-0300,2026-03-18T15:18:04.320-0300,IN REFINEMENT,Refined,fabio.bastos
BF3E4-5233,[SHARED SERVICES - 57] Entidade: Workday - Views Normalized - Contratação - TAMANHO: M,2026-03-16T10:34:35.659-0300,2026-03-18T11:59:53.737-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5233,[SHARED SERVICES - 57] Entidade: Workday - Views Normalized - Contratação - TAMANHO: M,2026-03-16T10:34:35.659-0300,2026-03-18T11:06:38.135-0300,Open,WAITING REFINEMENT,fabio.bastos
