Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-3301,[RH - 16] Entidade: Vetorh - Tabelas Usuário Parte 1 - TAMANHO: G,2026-03-11T12:29:40.513-0300,2026-03-19T14:31:30.215-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3301,[RH - 16] Entidade: Vetorh - Tabelas Usuário Parte 1 - TAMANHO: G,2026-03-11T12:29:40.513-0300,2026-03-19T14:31:26.504-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3287,[RH - 15] Entidade: Vetorh - Riscos Ambientais - TAMANHO: G,2026-03-11T12:29:16.435-0300,2026-03-19T14:30:08.116-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3287,[RH - 15] Entidade: Vetorh - Riscos Ambientais - TAMANHO: G,2026-03-11T12:29:16.435-0300,2026-03-19T14:30:05.529-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3287,[RH - 15] Entidade: Vetorh - Riscos Ambientais - TAMANHO: G,2026-03-11T12:29:16.435-0300,2026-03-19T14:30:02.403-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3282,[RH - 14] Entidade: Vetorh - Views Medicina Analytics - TAMANHO: P,2026-03-11T12:29:06.076-0300,2026-03-19T14:30:22.313-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3282,[RH - 14] Entidade: Vetorh - Views Medicina Analytics - TAMANHO: P,2026-03-11T12:29:06.076-0300,2026-03-19T14:30:19.165-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3282,[RH - 14] Entidade: Vetorh - Views Medicina Analytics - TAMANHO: P,2026-03-11T12:29:06.076-0300,2026-03-19T14:30:15.978-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3268,[RH - 13] Entidade: Vetorh - Treinamento - TAMANHO: G,2026-03-11T12:28:41.455-0300,2026-03-19T14:26:22.191-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3268,[RH - 13] Entidade: Vetorh - Treinamento - TAMANHO: G,2026-03-11T12:28:41.455-0300,2026-03-19T14:26:19.026-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3268,[RH - 13] Entidade: Vetorh - Treinamento - TAMANHO: G,2026-03-11T12:28:41.455-0300,2026-03-19T14:26:15.304-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3262,[RH - 12] Entidade:  Vetorh - Views Absenteísmo e Medicina - TAMANHO: P,2026-03-11T12:28:28.243-0300,2026-03-19T14:25:13.633-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3262,[RH - 12] Entidade:  Vetorh - Views Absenteísmo e Medicina - TAMANHO: P,2026-03-11T12:28:28.243-0300,2026-03-19T14:25:11.160-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3262,[RH - 12] Entidade:  Vetorh - Views Absenteísmo e Medicina - TAMANHO: P,2026-03-11T12:28:28.243-0300,2026-03-19T14:25:09.255-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3248,[RH - 11] Entidade: Vetorh - Medicina do Trabalho Parte 1 - TAMANHO: G,2026-03-11T12:27:57.279-0300,2026-03-19T14:23:34.925-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3248,[RH - 11] Entidade: Vetorh - Medicina do Trabalho Parte 1 - TAMANHO: G,2026-03-11T12:27:57.279-0300,2026-03-19T14:23:32.751-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3248,[RH - 11] Entidade: Vetorh - Medicina do Trabalho Parte 1 - TAMANHO: G,2026-03-11T12:27:57.279-0300,2026-03-19T14:23:29.261-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3233,[RH - 10] Entidade: Vetorh - Saúde e Segurança Parte 3 + Views Acidentes - TAMANHO: G,2026-03-11T12:27:27.305-0300,2026-03-19T14:22:35.712-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3233,[RH - 10] Entidade: Vetorh - Saúde e Segurança Parte 3 + Views Acidentes - TAMANHO: G,2026-03-11T12:27:27.305-0300,2026-03-19T14:22:33.320-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3233,[RH - 10] Entidade: Vetorh - Saúde e Segurança Parte 3 + Views Acidentes - TAMANHO: G,2026-03-11T12:27:27.305-0300,2026-03-19T14:22:30.444-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3227,[RH - 9] Entidade: Vetorh - Saúde e Segurança Parte 2 + View Marcações - TAMANHO: P,2026-03-11T12:27:15.928-0300,2026-03-19T13:58:28.499-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3227,[RH - 9] Entidade: Vetorh - Saúde e Segurança Parte 2 + View Marcações - TAMANHO: P,2026-03-11T12:27:15.928-0300,2026-03-19T13:58:25.706-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3227,[RH - 9] Entidade: Vetorh - Saúde e Segurança Parte 2 + View Marcações - TAMANHO: P,2026-03-11T12:27:15.928-0300,2026-03-19T13:58:23.088-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3212,[RH - 8] Entidade: Vetorh - Saúde e Segurança Parte 1 - TAMANHO: G,2026-03-11T12:26:46.318-0300,2026-03-19T13:56:45.507-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3212,[RH - 8] Entidade: Vetorh - Saúde e Segurança Parte 1 - TAMANHO: G,2026-03-11T12:26:46.318-0300,2026-03-19T13:56:43.177-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3212,[RH - 8] Entidade: Vetorh - Saúde e Segurança Parte 1 - TAMANHO: G,2026-03-11T12:26:46.318-0300,2026-03-19T13:56:40.324-0300,Open,WAITING REFINEMENT,italo.siqueira
