Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-967,[FINANCE - 15] Entidade: NFe/CTe Saída CMA - TAMANHO: M,2026-03-06T18:59:53.834-0300,2026-03-16T14:43:37.267-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-951,[FINANCE - 14] Entidade: NFe/CTe Saída FPT - TAMANHO: G,2026-03-06T18:59:09.084-0300,2026-03-16T14:42:11.228-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-951,[FINANCE - 14] Entidade: NFe/CTe Saída FPT - TAMANHO: G,2026-03-06T18:59:09.084-0300,2026-03-16T14:42:08.645-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-951,[FINANCE - 14] Entidade: NFe/CTe Saída FPT - TAMANHO: G,2026-03-06T18:59:09.084-0300,2026-03-16T14:42:05.482-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-936,[FINANCE - 13] Entidade: NFe/CTe Saída FIAT - TAMANHO: M,2026-03-06T18:58:31.439-0300,2026-03-16T14:39:54.055-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-936,[FINANCE - 13] Entidade: NFe/CTe Saída FIAT - TAMANHO: M,2026-03-06T18:58:31.439-0300,2026-03-16T14:39:50.776-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-936,[FINANCE - 13] Entidade: NFe/CTe Saída FIAT - TAMANHO: M,2026-03-06T18:58:31.439-0300,2026-03-16T14:39:46.895-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-936,[FINANCE - 13] Entidade: NFe/CTe Saída FIAT - TAMANHO: M,2026-03-06T18:58:31.439-0300,2026-03-16T14:39:41.746-0300,WAITING REFINEMENT,Open,willian.santos
BF3E4-936,[FINANCE - 13] Entidade: NFe/CTe Saída FIAT - TAMANHO: M,2026-03-06T18:58:31.439-0300,2026-03-16T14:39:37.659-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-922,[FINANCE - 12] Entidade: CTe Entrada Teksid - TAMANHO: M,2026-03-06T18:57:59.327-0300,2026-03-16T14:37:17.443-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-922,[FINANCE - 12] Entidade: CTe Entrada Teksid - TAMANHO: M,2026-03-06T18:57:59.327-0300,2026-03-16T14:37:14.535-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-922,[FINANCE - 12] Entidade: CTe Entrada Teksid - TAMANHO: M,2026-03-06T18:57:59.327-0300,2026-03-16T14:37:11.861-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-922,[FINANCE - 12] Entidade: CTe Entrada Teksid - TAMANHO: M,2026-03-06T18:57:59.327-0300,2026-03-16T14:37:08.939-0300,WAITING REFINEMENT,Open,willian.santos
BF3E4-922,[FINANCE - 12] Entidade: CTe Entrada Teksid - TAMANHO: M,2026-03-06T18:57:59.327-0300,2026-03-16T14:37:05.565-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-908,[FINANCE - 11] Entidade: CTe Entrada PCMA - TAMANHO: M,2026-03-06T18:57:29.656-0300,2026-03-16T14:36:14.647-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-908,[FINANCE - 11] Entidade: CTe Entrada PCMA - TAMANHO: M,2026-03-06T18:57:29.656-0300,2026-03-16T14:36:11.717-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-908,[FINANCE - 11] Entidade: CTe Entrada PCMA - TAMANHO: M,2026-03-06T18:57:29.656-0300,2026-03-16T14:36:07.634-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-894,[FINANCE - 10] Entidade: CTe Entrada CMP - TAMANHO: M,2026-03-06T18:56:58.971-0300,2026-03-16T14:34:40.022-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-894,[FINANCE - 10] Entidade: CTe Entrada CMP - TAMANHO: M,2026-03-06T18:56:58.971-0300,2026-03-16T14:34:16.681-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-894,[FINANCE - 10] Entidade: CTe Entrada CMP - TAMANHO: M,2026-03-06T18:56:58.971-0300,2026-03-16T14:34:06.237-0300,Open,WAITING REFINEMENT,willian.santos
